Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011484 | lrm: 1.00 | dt: 12942ms | tok/sec: 20,255 | mfu: 0.5% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.811021 | lrm: 1.00 | dt: 411ms | tok/sec: 638,231 | mfu: 15.4% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.680303 | lrm: 1.00 | dt: 409ms | tok/sec: 641,037 | mfu: 15.5% | epoch: 1 | remaining: 299s    
step 00013 (0.3%) | loss: 6.567432 | lrm: 1.00 | dt: 409ms | tok/sec: 640,749 | mfu: 15.5% | epoch: 1 | remaining: 299s    
step 00014 (0.4%) | loss: 6.462611 | lrm: 1.00 | dt: 411ms | tok/sec: 637,116 | mfu: 15.4% | epoch: 1 | remaining: 298s    
step 00015 (0.5%) | loss: 6.367012 | lrm: 1.00 | dt: 411ms | tok/sec: 638,252 | mfu: 15.4% | epoch: 1 | remaining: 298s    
step 00016 (0.7%) | loss: 6.285052 | lrm: 1.00 | dt: 409ms | tok/sec: 640,253 | mfu: 15.5% | epoch: 1 | remaining: 298s    
step 00017 (0.8%) | loss: 6.210009 | lrm: 1.00 | dt: 409ms | tok/sec: 640,528 | mfu: 15.5% | epoch: 1 | remaining: 297s    
step 00018 (1.0%) | loss: 6.140618 | lrm: 1.00 | dt: 412ms | tok/sec: 636,266 | mfu: 15.4% | epoch: 1 | remaining: 297s    
step 00019 (1.1%) | loss: 6.076624 | lrm: 1.00 | dt: 409ms | tok/sec: 640,616 | mfu: 15.5% | epoch: 1 | remaining: 296s    
step 00020 (1.2%) | loss: 6.020961 | lrm: 1.00 | dt: 411ms | tok/sec: 638,436 | mfu: 15.4% | epoch: 1 | remaining: 296s    
step 00021 (1.4%) | loss: 5.968705 | lrm: 1.00 | dt: 412ms | tok/sec: 636,978 | mfu: 15.4% | epoch: 1 | remaining: 295s    
step 00022 (1.5%) | loss: 5.922632 | lrm: 1.00 | dt: 410ms | tok/sec: 639,602 | mfu: 15.5% | epoch: 1 | remaining: 295s    
step 00023 (1.6%) | loss: 5.877777 | lrm: 1.00 | dt: 411ms | tok/sec: 638,159 | mfu: 15.4% | epoch: 1 | remaining: 295s    
step 00024 (1.8%) | loss: 5.838498 | lrm: 1.00 | dt: 411ms | tok/sec: 637,967 | mfu: 15.4% | epoch: 1 | remaining: 294s    
step 00025 (1.9%) | loss: 5.798906 | lrm: 1.00 | dt: 411ms | tok/sec: 638,395 | mfu: 15.4% | epoch: 1 | remaining: 294s    
step 00026 (2.1%) | loss: 5.761663 | lrm: 1.00 | dt: 412ms | tok/sec: 636,853 | mfu: 15.4% | epoch: 1 | remaining: 293s    
step 00027 (2.2%) | loss: 5.730844 | lrm: 1.00 | dt: 411ms | tok/sec: 637,870 | mfu: 15.4% | epoch: 1 | remaining: 293s    
step 00028 (2.3%) | loss: 5.703244 | lrm: 1.00 | dt: 411ms | tok/sec: 638,547 | mfu: 15.4% | epoch: 1 | remaining: 293s    
step 00029 (2.5%) | loss: 5.674120 | lrm: 1.00 | dt: 412ms | tok/sec: 636,209 | mfu: 15.4% | epoch: 1 | remaining: 292s    
step 00030 (2.6%) | loss: 5.641921 | lrm: 1.00 | dt: 411ms | tok/sec: 637,905 | mfu: 15.4% | epoch: 1 | remaining: 292s    
step 00031 (2.7%) | loss: 5.615542 | lrm: 1.00 | dt: 411ms | tok/sec: 637,742 | mfu: 15.4% | epoch: 1 | remaining: 291s    
step 00032 (2.9%) | loss: 5.590392 | lrm: 1.00 | dt: 412ms | tok/sec: 636,960 | mfu: 15.4% | epoch: 1 | remaining: 291s    
step 00033 (3.0%) | loss: 5.567236 | lrm: 1.00 | dt: 412ms | tok/sec: 635,967 | mfu: 15.4% | epoch: 1 | remaining: 291s    
step 00034 (3.1%) | loss: 5.540706 | lrm: 1.00 | dt: 411ms | tok/sec: 637,767 | mfu: 15.4% | epoch: 1 | remaining: 290s    
step 00035 (3.3%) | loss: 5.517002 | lrm: 1.00 | dt: 411ms | tok/sec: 637,122 | mfu: 15.4% | epoch: 1 | remaining: 290s    
step 00036 (3.4%) | loss: 5.494216 | lrm: 1.00 | dt: 411ms | tok/sec: 638,004 | mfu: 15.4% | epoch: 1 | remaining: 289s    
step 00037 (3.6%) | loss: 5.470566 | lrm: 1.00 | dt: 412ms | tok/sec: 636,361 | mfu: 15.4% | epoch: 1 | remaining: 289s    
step 00038 (3.7%) | loss: 5.445981 | lrm: 1.00 | dt: 411ms | tok/sec: 638,287 | mfu: 15.4% | epoch: 1 | remaining: 288s    
step 00039 (3.8%) | loss: 5.426351 | lrm: 1.00 | dt: 411ms | tok/sec: 638,417 | mfu: 15.4% | epoch: 1 | remaining: 288s    
step 00040 (4.0%) | loss: 5.405136 | lrm: 1.00 | dt: 412ms | tok/sec: 636,187 | mfu: 15.4% | epoch: 1 | remaining: 288s    
step 00041 (4.1%) | loss: 5.386106 | lrm: 1.00 | dt: 412ms | tok/sec: 637,043 | mfu: 15.4% | epoch: 1 | remaining: 287s    
step 00042 (4.2%) | loss: 5.367625 | lrm: 1.00 | dt: 411ms | tok/sec: 637,732 | mfu: 15.4% | epoch: 1 | remaining: 287s    
step 00043 (4.4%) | loss: 5.349061 | lrm: 1.00 | dt: 413ms | tok/sec: 634,371 | mfu: 15.3% | epoch: 1 | remaining: 286s    
step 00044 (4.5%) | loss: 5.333307 | lrm: 1.00 | dt: 412ms | tok/sec: 637,009 | mfu: 15.4% | epoch: 1 | remaining: 286s    
step 00045 (4.7%) | loss: 5.314845 | lrm: 1.00 | dt: 412ms | tok/sec: 636,931 | mfu: 15.4% | epoch: 1 | remaining: 286s    
step 00046 (4.8%) | loss: 5.296140 | lrm: 1.00 | dt: 413ms | tok/sec: 634,174 | mfu: 15.3% | epoch: 1 | remaining: 285s    
step 00047 (4.9%) | loss: 5.275348 | lrm: 1.00 | dt: 411ms | tok/sec: 637,677 | mfu: 15.4% | epoch: 1 | remaining: 285s    
step 00048 (5.1%) | loss: 5.256182 | lrm: 1.00 | dt: 413ms | tok/sec: 634,636 | mfu: 15.3% | epoch: 1 | remaining: 284s    
step 00049 (5.2%) | loss: 5.237795 | lrm: 1.00 | dt: 411ms | tok/sec: 637,506 | mfu: 15.4% | epoch: 1 | remaining: 284s    
step 00050 (5.3%) | loss: 5.222219 | lrm: 1.00 | dt: 412ms | tok/sec: 636,875 | mfu: 15.4% | epoch: 1 | remaining: 284s    
step 00051 (5.5%) | loss: 5.206299 | lrm: 1.00 | dt: 412ms | tok/sec: 635,796 | mfu: 15.4% | epoch: 1 | remaining: 283s    
step 00052 (5.6%) | loss: 5.189309 | lrm: 1.00 | dt: 412ms | tok/sec: 636,953 | mfu: 15.4% | epoch: 1 | remaining: 283s    
step 00053 (5.8%) | loss: 5.171230 | lrm: 1.00 | dt: 413ms | tok/sec: 634,342 | mfu: 15.3% | epoch: 1 | remaining: 282s    
step 00054 (5.9%) | loss: 5.155242 | lrm: 1.00 | dt: 411ms | tok/sec: 637,180 | mfu: 15.4% | epoch: 1 | remaining: 282s    
step 00055 (6.0%) | loss: 5.139168 | lrm: 1.00 | dt: 412ms | tok/sec: 635,637 | mfu: 15.4% | epoch: 1 | remaining: 281s    
step 00056 (6.2%) | loss: 5.125524 | lrm: 1.00 | dt: 413ms | tok/sec: 634,080 | mfu: 15.3% | epoch: 1 | remaining: 281s    
step 00057 (6.3%) | loss: 5.112375 | lrm: 1.00 | dt: 412ms | tok/sec: 636,933 | mfu: 15.4% | epoch: 1 | remaining: 281s    
step 00058 (6.4%) | loss: 5.097058 | lrm: 1.00 | dt: 412ms | tok/sec: 636,187 | mfu: 15.4% | epoch: 1 | remaining: 280s    
step 00059 (6.6%) | loss: 5.084247 | lrm: 1.00 | dt: 413ms | tok/sec: 634,883 | mfu: 15.3% | epoch: 1 | remaining: 280s    
step 00060 (6.7%) | loss: 5.070015 | lrm: 1.00 | dt: 412ms | tok/sec: 635,592 | mfu: 15.4% | epoch: 1 | remaining: 279s    
step 00061 (6.9%) | loss: 5.056178 | lrm: 1.00 | dt: 413ms | tok/sec: 634,442 | mfu: 15.3% | epoch: 1 | remaining: 279s    
step 00062 (7.0%) | loss: 5.034881 | lrm: 1.00 | dt: 413ms | tok/sec: 634,587 | mfu: 15.3% | epoch: 1 | remaining: 279s    
step 00063 (7.1%) | loss: 5.018260 | lrm: 1.00 | dt: 413ms | tok/sec: 635,029 | mfu: 15.3% | epoch: 1 | remaining: 278s    
step 00064 (7.3%) | loss: 5.003543 | lrm: 1.00 | dt: 412ms | tok/sec: 635,998 | mfu: 15.4% | epoch: 1 | remaining: 278s    
step 00065 (7.4%) | loss: 4.990375 | lrm: 1.00 | dt: 414ms | tok/sec: 633,692 | mfu: 15.3% | epoch: 1 | remaining: 277s    
step 00066 (7.5%) | loss: 4.971507 | lrm: 1.00 | dt: 412ms | tok/sec: 635,917 | mfu: 15.4% | epoch: 1 | remaining: 277s    
step 00067 (7.7%) | loss: 4.952237 | lrm: 1.00 | dt: 413ms | tok/sec: 634,813 | mfu: 15.3% | epoch: 1 | remaining: 277s    
step 00068 (7.8%) | loss: 4.930454 | lrm: 1.00 | dt: 413ms | tok/sec: 635,022 | mfu: 15.3% | epoch: 1 | remaining: 276s    
step 00069 (8.0%) | loss: 4.910671 | lrm: 1.00 | dt: 413ms | tok/sec: 634,177 | mfu: 15.3% | epoch: 1 | remaining: 276s    
step 00070 (8.1%) | loss: 4.896561 | lrm: 1.00 | dt: 413ms | tok/sec: 634,084 | mfu: 15.3% | epoch: 1 | remaining: 275s    
step 00071 (8.2%) | loss: 4.881367 | lrm: 1.00 | dt: 412ms | tok/sec: 636,160 | mfu: 15.4% | epoch: 1 | remaining: 275s    
step 00072 (8.4%) | loss: 4.865287 | lrm: 1.00 | dt: 413ms | tok/sec: 634,281 | mfu: 15.3% | epoch: 1 | remaining: 274s    
step 00073 (8.5%) | loss: 4.854035 | lrm: 1.00 | dt: 412ms | tok/sec: 636,097 | mfu: 15.4% | epoch: 1 | remaining: 274s    
step 00074 (8.6%) | loss: 4.840008 | lrm: 1.00 | dt: 413ms | tok/sec: 634,448 | mfu: 15.3% | epoch: 1 | remaining: 274s    
step 00075 (8.8%) | loss: 4.821427 | lrm: 1.00 | dt: 412ms | tok/sec: 636,971 | mfu: 15.4% | epoch: 1 | remaining: 273s    
step 00076 (8.9%) | loss: 4.806326 | lrm: 1.00 | dt: 414ms | tok/sec: 633,646 | mfu: 15.3% | epoch: 1 | remaining: 273s    
step 00077 (9.1%) | loss: 4.792638 | lrm: 1.00 | dt: 412ms | tok/sec: 636,016 | mfu: 15.4% | epoch: 1 | remaining: 272s    
step 00078 (9.2%) | loss: 4.777821 | lrm: 1.00 | dt: 413ms | tok/sec: 634,282 | mfu: 15.3% | epoch: 1 | remaining: 272s    
step 00079 (9.3%) | loss: 4.758406 | lrm: 1.00 | dt: 413ms | tok/sec: 635,419 | mfu: 15.4% | epoch: 1 | remaining: 272s    
step 00080 (9.5%) | loss: 4.738066 | lrm: 1.00 | dt: 413ms | tok/sec: 634,255 | mfu: 15.3% | epoch: 1 | remaining: 271s    
step 00081 (9.6%) | loss: 4.721627 | lrm: 1.00 | dt: 414ms | tok/sec: 633,815 | mfu: 15.3% | epoch: 1 | remaining: 271s    
step 00082 (9.7%) | loss: 4.706552 | lrm: 1.00 | dt: 412ms | tok/sec: 636,083 | mfu: 15.4% | epoch: 1 | remaining: 270s    
step 00083 (9.9%) | loss: 4.695358 | lrm: 1.00 | dt: 414ms | tok/sec: 633,568 | mfu: 15.3% | epoch: 1 | remaining: 270s    
step 00084 (10.0%) | loss: 4.680802 | lrm: 1.00 | dt: 412ms | tok/sec: 635,643 | mfu: 15.4% | epoch: 1 | remaining: 270s    
step 00085 (10.2%) | loss: 4.664807 | lrm: 1.00 | dt: 414ms | tok/sec: 632,615 | mfu: 15.3% | epoch: 1 | remaining: 269s    
step 00086 (10.3%) | loss: 4.654204 | lrm: 1.00 | dt: 413ms | tok/sec: 635,464 | mfu: 15.4% | epoch: 1 | remaining: 269s    
step 00087 (10.4%) | loss: 4.640029 | lrm: 1.00 | dt: 414ms | tok/sec: 633,095 | mfu: 15.3% | epoch: 1 | remaining: 268s    
step 00088 (10.6%) | loss: 4.614855 | lrm: 1.00 | dt: 413ms | tok/sec: 635,382 | mfu: 15.4% | epoch: 1 | remaining: 268s    
step 00089 (10.7%) | loss: 4.596925 | lrm: 1.00 | dt: 414ms | tok/sec: 632,810 | mfu: 15.3% | epoch: 1 | remaining: 267s    
step 00090 (10.8%) | loss: 4.582877 | lrm: 1.00 | dt: 412ms | tok/sec: 635,858 | mfu: 15.4% | epoch: 1 | remaining: 267s    
step 00091 (11.0%) | loss: 4.566199 | lrm: 1.00 | dt: 414ms | tok/sec: 632,778 | mfu: 15.3% | epoch: 1 | remaining: 267s    
step 00092 (11.1%) | loss: 4.552107 | lrm: 1.00 | dt: 413ms | tok/sec: 634,973 | mfu: 15.3% | epoch: 1 | remaining: 266s    
step 00093 (11.3%) | loss: 4.528427 | lrm: 1.00 | dt: 414ms | tok/sec: 633,564 | mfu: 15.3% | epoch: 1 | remaining: 266s    
step 00094 (11.4%) | loss: 4.514946 | lrm: 1.00 | dt: 414ms | tok/sec: 633,198 | mfu: 15.3% | epoch: 1 | remaining: 265s    
step 00095 (11.5%) | loss: 4.499239 | lrm: 1.00 | dt: 415ms | tok/sec: 630,950 | mfu: 15.2% | epoch: 1 | remaining: 265s    
step 00096 (11.7%) | loss: 4.486174 | lrm: 1.00 | dt: 413ms | tok/sec: 634,203 | mfu: 15.3% | epoch: 1 | remaining: 265s    
step 00097 (11.8%) | loss: 4.475723 | lrm: 1.00 | dt: 415ms | tok/sec: 631,195 | mfu: 15.3% | epoch: 1 | remaining: 264s    
step 00098 (12.0%) | loss: 4.460443 | lrm: 1.00 | dt: 415ms | tok/sec: 632,405 | mfu: 15.3% | epoch: 1 | remaining: 264s    
step 00099 (12.1%) | loss: 4.441997 | lrm: 1.00 | dt: 415ms | tok/sec: 631,252 | mfu: 15.3% | epoch: 1 | remaining: 263s    
step 00100 (12.2%) | loss: 4.421155 | lrm: 1.00 | dt: 415ms | tok/sec: 631,459 | mfu: 15.3% | epoch: 1 | remaining: 263s    
step 00101 (12.4%) | loss: 4.402105 | lrm: 1.00 | dt: 415ms | tok/sec: 632,099 | mfu: 15.3% | epoch: 1 | remaining: 262s    
step 00102 (12.5%) | loss: 4.387726 | lrm: 1.00 | dt: 414ms | tok/sec: 632,484 | mfu: 15.3% | epoch: 1 | remaining: 262s    
step 00103 (12.6%) | loss: 4.377893 | lrm: 1.00 | dt: 414ms | tok/sec: 633,502 | mfu: 15.3% | epoch: 1 | remaining: 262s    
step 00104 (12.8%) | loss: 4.362033 | lrm: 1.00 | dt: 415ms | tok/sec: 632,267 | mfu: 15.3% | epoch: 1 | remaining: 261s    
step 00105 (12.9%) | loss: 4.346419 | lrm: 1.00 | dt: 416ms | tok/sec: 630,530 | mfu: 15.2% | epoch: 1 | remaining: 261s    
step 00106 (13.1%) | loss: 4.333966 | lrm: 1.00 | dt: 415ms | tok/sec: 631,559 | mfu: 15.3% | epoch: 1 | remaining: 260s    
step 00107 (13.2%) | loss: 4.321157 | lrm: 1.00 | dt: 414ms | tok/sec: 633,070 | mfu: 15.3% | epoch: 1 | remaining: 260s    
step 00108 (13.3%) | loss: 4.305882 | lrm: 1.00 | dt: 415ms | tok/sec: 631,113 | mfu: 15.2% | epoch: 1 | remaining: 260s    
step 00109 (13.5%) | loss: 4.298501 | lrm: 1.00 | dt: 415ms | tok/sec: 632,424 | mfu: 15.3% | epoch: 1 | remaining: 259s    
step 00110 (13.6%) | loss: 4.289799 | lrm: 1.00 | dt: 415ms | tok/sec: 631,247 | mfu: 15.3% | epoch: 1 | remaining: 259s    
step 00111 (13.7%) | loss: 4.277972 | lrm: 1.00 | dt: 415ms | tok/sec: 632,365 | mfu: 15.3% | epoch: 1 | remaining: 258s    
step 00112 (13.9%) | loss: 4.270079 | lrm: 1.00 | dt: 415ms | tok/sec: 631,173 | mfu: 15.3% | epoch: 1 | remaining: 258s    
step 00113 (14.0%) | loss: 4.257518 | lrm: 1.00 | dt: 414ms | tok/sec: 633,233 | mfu: 15.3% | epoch: 1 | remaining: 258s    
step 00114 (14.2%) | loss: 4.246104 | lrm: 1.00 | dt: 416ms | tok/sec: 630,856 | mfu: 15.2% | epoch: 1 | remaining: 257s    
step 00115 (14.3%) | loss: 4.233143 | lrm: 1.00 | dt: 415ms | tok/sec: 631,419 | mfu: 15.3% | epoch: 1 | remaining: 257s    
step 00116 (14.4%) | loss: 4.218504 | lrm: 1.00 | dt: 415ms | tok/sec: 631,076 | mfu: 15.2% | epoch: 1 | remaining: 256s    
step 00117 (14.6%) | loss: 4.203350 | lrm: 1.00 | dt: 415ms | tok/sec: 632,226 | mfu: 15.3% | epoch: 1 | remaining: 256s    
step 00118 (14.7%) | loss: 4.196712 | lrm: 1.00 | dt: 415ms | tok/sec: 630,956 | mfu: 15.2% | epoch: 1 | remaining: 255s    
step 00119 (14.9%) | loss: 4.179505 | lrm: 1.00 | dt: 415ms | tok/sec: 632,235 | mfu: 15.3% | epoch: 1 | remaining: 255s    
step 00120 (15.0%) | loss: 4.168962 | lrm: 1.00 | dt: 415ms | tok/sec: 631,046 | mfu: 15.2% | epoch: 1 | remaining: 255s    
step 00121 (15.1%) | loss: 4.160344 | lrm: 1.00 | dt: 414ms | tok/sec: 632,497 | mfu: 15.3% | epoch: 1 | remaining: 254s    
step 00122 (15.3%) | loss: 4.149801 | lrm: 1.00 | dt: 416ms | tok/sec: 630,836 | mfu: 15.2% | epoch: 1 | remaining: 254s    
step 00123 (15.4%) | loss: 4.140746 | lrm: 1.00 | dt: 415ms | tok/sec: 631,374 | mfu: 15.3% | epoch: 1 | remaining: 253s    
step 00124 (15.5%) | loss: 4.128001 | lrm: 1.00 | dt: 416ms | tok/sec: 629,865 | mfu: 15.2% | epoch: 1 | remaining: 253s    
step 00125 (15.7%) | loss: 4.111947 | lrm: 1.00 | dt: 416ms | tok/sec: 630,674 | mfu: 15.2% | epoch: 1 | remaining: 253s    
step 00126 (15.8%) | loss: 4.097175 | lrm: 1.00 | dt: 415ms | tok/sec: 631,812 | mfu: 15.3% | epoch: 1 | remaining: 252s    
step 00127 (16.0%) | loss: 4.084294 | lrm: 1.00 | dt: 416ms | tok/sec: 630,762 | mfu: 15.2% | epoch: 1 | remaining: 252s    
step 00128 (16.1%) | loss: 4.068423 | lrm: 1.00 | dt: 415ms | tok/sec: 631,524 | mfu: 15.3% | epoch: 1 | remaining: 251s    
step 00129 (16.2%) | loss: 4.061638 | lrm: 1.00 | dt: 415ms | tok/sec: 631,730 | mfu: 15.3% | epoch: 1 | remaining: 251s    
step 00130 (16.4%) | loss: 4.050113 | lrm: 1.00 | dt: 415ms | tok/sec: 631,659 | mfu: 15.3% | epoch: 1 | remaining: 250s    
step 00131 (16.5%) | loss: 4.041807 | lrm: 1.00 | dt: 416ms | tok/sec: 630,200 | mfu: 15.2% | epoch: 1 | remaining: 250s    
step 00132 (16.7%) | loss: 4.038074 | lrm: 1.00 | dt: 415ms | tok/sec: 631,903 | mfu: 15.3% | epoch: 1 | remaining: 250s    
step 00133 (16.8%) | loss: 4.036449 | lrm: 1.00 | dt: 416ms | tok/sec: 629,781 | mfu: 15.2% | epoch: 1 | remaining: 249s    
step 00134 (16.9%) | loss: 4.026831 | lrm: 1.00 | dt: 415ms | tok/sec: 631,286 | mfu: 15.3% | epoch: 1 | remaining: 249s    
step 00135 (17.1%) | loss: 4.016391 | lrm: 1.00 | dt: 416ms | tok/sec: 629,959 | mfu: 15.2% | epoch: 1 | remaining: 248s    
step 00136 (17.2%) | loss: 4.011232 | lrm: 1.00 | dt: 415ms | tok/sec: 631,886 | mfu: 15.3% | epoch: 1 | remaining: 248s    
step 00137 (17.3%) | loss: 4.004616 | lrm: 1.00 | dt: 415ms | tok/sec: 631,351 | mfu: 15.3% | epoch: 1 | remaining: 248s    
step 00138 (17.5%) | loss: 3.993940 | lrm: 1.00 | dt: 415ms | tok/sec: 631,968 | mfu: 15.3% | epoch: 1 | remaining: 247s    
step 00139 (17.6%) | loss: 3.984021 | lrm: 1.00 | dt: 416ms | tok/sec: 630,894 | mfu: 15.2% | epoch: 1 | remaining: 247s    
step 00140 (17.8%) | loss: 3.975384 | lrm: 1.00 | dt: 416ms | tok/sec: 629,990 | mfu: 15.2% | epoch: 1 | remaining: 246s    
step 00141 (17.9%) | loss: 3.961789 | lrm: 1.00 | dt: 415ms | tok/sec: 630,912 | mfu: 15.2% | epoch: 1 | remaining: 246s    
step 00142 (18.0%) | loss: 3.965965 | lrm: 1.00 | dt: 416ms | tok/sec: 630,684 | mfu: 15.2% | epoch: 1 | remaining: 245s    
step 00143 (18.2%) | loss: 3.946680 | lrm: 1.00 | dt: 415ms | tok/sec: 631,105 | mfu: 15.2% | epoch: 1 | remaining: 245s    
step 00144 (18.3%) | loss: 3.936594 | lrm: 1.00 | dt: 415ms | tok/sec: 631,926 | mfu: 15.3% | epoch: 1 | remaining: 245s    
step 00145 (18.5%) | loss: 3.936780 | lrm: 1.00 | dt: 415ms | tok/sec: 631,562 | mfu: 15.3% | epoch: 1 | remaining: 244s    
step 00146 (18.6%) | loss: 3.922376 | lrm: 1.00 | dt: 416ms | tok/sec: 630,104 | mfu: 15.2% | epoch: 1 | remaining: 244s    
step 00147 (18.7%) | loss: 3.917535 | lrm: 1.00 | dt: 416ms | tok/sec: 629,501 | mfu: 15.2% | epoch: 1 | remaining: 243s    
step 00148 (18.9%) | loss: 3.906950 | lrm: 1.00 | dt: 415ms | tok/sec: 631,089 | mfu: 15.2% | epoch: 1 | remaining: 243s    
step 00149 (19.0%) | loss: 3.898833 | lrm: 1.00 | dt: 416ms | tok/sec: 630,216 | mfu: 15.2% | epoch: 1 | remaining: 243s    
step 00150 (19.1%) | loss: 3.895895 | lrm: 1.00 | dt: 415ms | tok/sec: 631,787 | mfu: 15.3% | epoch: 1 | remaining: 242s    
step 00151 (19.3%) | loss: 3.891821 | lrm: 1.00 | dt: 416ms | tok/sec: 630,745 | mfu: 15.2% | epoch: 1 | remaining: 242s    
step 00152 (19.4%) | loss: 3.882918 | lrm: 1.00 | dt: 416ms | tok/sec: 629,885 | mfu: 15.2% | epoch: 1 | remaining: 241s    
step 00153 (19.6%) | loss: 3.876361 | lrm: 1.00 | dt: 416ms | tok/sec: 630,910 | mfu: 15.2% | epoch: 1 | remaining: 241s    
step 00154 (19.7%) | loss: 3.876203 | lrm: 1.00 | dt: 416ms | tok/sec: 630,312 | mfu: 15.2% | epoch: 1 | remaining: 240s    
step 00155 (19.8%) | loss: 3.871719 | lrm: 1.00 | dt: 415ms | tok/sec: 631,513 | mfu: 15.3% | epoch: 1 | remaining: 240s    
step 00156 (20.0%) | loss: 3.863002 | lrm: 1.00 | dt: 415ms | tok/sec: 631,951 | mfu: 15.3% | epoch: 1 | remaining: 240s    
step 00157 (20.1%) | loss: 3.852879 | lrm: 1.00 | dt: 416ms | tok/sec: 630,626 | mfu: 15.2% | epoch: 1 | remaining: 239s    
step 00158 (20.3%) | loss: 3.841913 | lrm: 1.00 | dt: 416ms | tok/sec: 630,732 | mfu: 15.2% | epoch: 1 | remaining: 239s    
step 00159 (20.4%) | loss: 3.837209 | lrm: 1.00 | dt: 416ms | tok/sec: 629,877 | mfu: 15.2% | epoch: 1 | remaining: 238s    
step 00160 (20.5%) | loss: 3.830153 | lrm: 1.00 | dt: 416ms | tok/sec: 630,172 | mfu: 15.2% | epoch: 1 | remaining: 238s    
step 00161 (20.7%) | loss: 3.830552 | lrm: 1.00 | dt: 416ms | tok/sec: 630,380 | mfu: 15.2% | epoch: 1 | remaining: 238s    
step 00162 (20.8%) | loss: 3.826645 | lrm: 1.00 | dt: 415ms | tok/sec: 631,025 | mfu: 15.2% | epoch: 1 | remaining: 237s    
step 00163 (20.9%) | loss: 3.821149 | lrm: 1.00 | dt: 415ms | tok/sec: 631,195 | mfu: 15.3% | epoch: 1 | remaining: 237s    
step 00164 (21.1%) | loss: 3.818651 | lrm: 1.00 | dt: 418ms | tok/sec: 627,713 | mfu: 15.2% | epoch: 1 | remaining: 236s    
step 00165 (21.2%) | loss: 3.819127 | lrm: 1.00 | dt: 415ms | tok/sec: 631,641 | mfu: 15.3% | epoch: 1 | remaining: 236s    
step 00166 (21.4%) | loss: 3.815476 | lrm: 1.00 | dt: 415ms | tok/sec: 631,146 | mfu: 15.2% | epoch: 1 | remaining: 235s    
step 00167 (21.5%) | loss: 3.807325 | lrm: 1.00 | dt: 417ms | tok/sec: 628,627 | mfu: 15.2% | epoch: 1 | remaining: 235s    
step 00168 (21.6%) | loss: 3.806915 | lrm: 1.00 | dt: 416ms | tok/sec: 630,814 | mfu: 15.2% | epoch: 1 | remaining: 235s    
